RotOptConvTimeTest started!
=== convID : CONV1, Depth : 2, CipherLevel : 2 ~ 24, iter : 100 === 
2 0.278554085 
3 0.325294014 
4 0.37004538 
5 0.48645835 
6 0.581761131 
7 0.661850181 
8 0.731686767 
9 0.792972508 
10 0.96658192 
11 1.105209499 
12 1.196187776 
13 1.273233747 
14 1.359823143 
15 1.575530833 
16 1.735740665 
17 1.855534826 
18 1.945172713 
19 2.050835411 
20 2.313032995 
21 2.486765551 
22 2.648358985 
23 2.750775732 
24 2.871743695 
=== convID : CONV2, Depth : 2, CipherLevel : 2 ~ 24, iter : 100 === 
2 0.702851206 
3 0.834491076 
4 0.973567077 
5 1.186957074 
6 1.551854225 
7 1.75580574 
8 1.933017078 
9 2.126956211 
10 2.424696579 
11 2.940820261 
12 3.190024321 
13 3.41538636 
14 3.651026926 
15 4.009782359 
16 4.651924643 
17 4.936987939 
18 5.205075914 
19 5.49666736 
20 5.916173143 
21 6.680959797 
22 7.014634032 
23 7.387413111 
24 7.660957113 
=== convID : CONV2, Depth : 3, CipherLevel : 2 ~ 24, iter : 100 === 
3 0.663284594 
4 0.785205866 
5 0.983763976 
6 1.194218881 
7 1.412920673 
8 1.602159483 
9 1.751137819 
10 2.031276333 
11 2.306109238 
12 2.586112275 
13 2.80983659 
14 3.016152432 
15 3.354421957 
16 3.673778391 
17 4.010707936 
18 4.298833809 
19 4.507258024 
20 4.906346576 
21 5.295760192 
22 5.700809297 
23 6.042352432 
24 6.274967349 
=== convID : CONV3s2, Depth : 2, CipherLevel : 2 ~ 24, iter : 100 === 
2 1.4452117 
3 1.726113389 
4 2.018195429 
5 2.383174356 
6 3.249254506 
7 3.636589394 
8 4.049678606 
9 4.418543291 
10 4.937858736 
11 6.163065389 
12 6.653839761 
13 7.113589948 
14 7.600472983 
15 8.201304043 
16 9.742778251 
17 10.307537732 
^Csignal: interrupt
